"","x","gene.name"
"1","ENSRNOG00000000581","Cdc40"
"2","ENSRNOG00000000640","Egr2"
"3","ENSRNOG00000000781","Rnf39"
"4","ENSRNOG00000001185","RGD1311899"
"5","ENSRNOG00000001189","Sik1"
"6","ENSRNOG00000001609","Cep97"
"7","ENSRNOG00000001843","Bcl6"
"8","ENSRNOG00000003288","Cacng5"
"9","ENSRNOG00000003334","Klhl21"
"10","ENSRNOG00000003745","Atf3"
"11","ENSRNOG00000003977","Dusp1"
"12","ENSRNOG00000004019","Phlda1"
"13","ENSRNOG00000005148","Scrt2"
"14","ENSRNOG00000006118","Klf10"
"15","ENSRNOG00000006505","Borcs5"
"16","ENSRNOG00000006972","Zfp189"
"17","ENSRNOG00000007387","Per1"
"18","ENSRNOG00000007390","Nfkbia"
"19","ENSRNOG00000007607","Nr4a1"
"20","ENSRNOG00000007830","Apold1"
"21","ENSRNOG00000008015","Fos"
"22","ENSRNOG00000008480","Kcnab3"
"23","ENSRNOG00000009046","Phf13"
"24","ENSRNOG00000009565","Pdk4"
"25","ENSRNOG00000010131","Rin2"
"26","ENSRNOG00000010266","Cd180"
"27","ENSRNOG00000010706","Ccdc117"
"28","ENSRNOG00000010918","Cebpa"
"29","ENSRNOG00000011815","Sgk1"
"30","ENSRNOG00000013078","Zcchc7"
"31","ENSRNOG00000013171","Grm2"
"32","ENSRNOG00000013269","Tnfsf10"
"33","ENSRNOG00000013623","Amer2"
"34","ENSRNOG00000013850","Hes5"
"35","ENSRNOG00000013851","Spry4"
"36","ENSRNOG00000014205","Klf2"
"37","ENSRNOG00000014338","Slc25a25"
"38","ENSRNOG00000014350","Ccn1"
"39","ENSRNOG00000014531","Hbs1l"
"40","ENSRNOG00000014548","Nedd9"
"41","ENSRNOG00000015763","Nat8f3"
"42","ENSRNOG00000016299","Klf4"
"43","ENSRNOG00000016800","Ss18"
"44","ENSRNOG00000016874","Zfp521"
"45","ENSRNOG00000016888","Pask"
"46","ENSRNOG00000017311","Me3"
"47","ENSRNOG00000018243","Ubfd1"
"48","ENSRNOG00000019018","Plat"
"49","ENSRNOG00000019422","Egr1"
"50","ENSRNOG00000019677","Arid3b"
"51","ENSRNOG00000020009","Npas4"
"52","ENSRNOG00000020361","Ip6k2"
"53","ENSRNOG00000020426","Erf"
"54","ENSRNOG00000020770","Arl4d"
"55","ENSRNOG00000020938","Ppp1r15a"
"56","ENSRNOG00000021183","Rcor2l1"
"57","ENSRNOG00000021945","Ccdc184"
"58","ENSRNOG00000022697","Clec14a"
"59","ENSRNOG00000026742","Ypel5"
"60","ENSRNOG00000026748","Dennd2a"
"61","ENSRNOG00000028493","Ppp1r15b"
"62","ENSRNOG00000028658","Olig2"
"63","ENSRNOG00000029698","Pim3"
"64","ENSRNOG00000033433","Csrnp1"
"65","ENSRNOG00000037214","Spag5"
"66","ENSRNOG00000042838","Junb"
"67","ENSRNOG00000043304","Apcdd1"
"68","ENSRNOG00000043465","Arc"
"69","ENSRNOG00000046547","Rbm24"
"70","ENSRNOG00000046667","Fosb"
"71","ENSRNOG00000046950","LOC100912481"
"72","ENSRNOG00000047080","Gng4"
"73","ENSRNOG00000049007","LOC100911313"
"74","ENSRNOG00000052357","Fosl2"
"75","ENSRNOG00000055673","Gpr52"
"76","ENSRNOG00000056940","Cited2"
"77","ENSRNOG00000057078","Ddit4"
"78","ENSRNOG00000058186","Errfi1"
"79","ENSRNOG00000058388","Zfp36"
"80","ENSRNOG00000059406","Ier5"
